timestamp,indoor_temp,ambient_lux,smoke_ppm,sound_db,is_anomaly
1781000720,23.6,376.64,2.77,39.91,0
1781000725,23.8,401.72,5.31,36.88,0
1781000730,23.95,379.98,2.99,38.91,0
1781000735,23.64,389.23,5.56,36.47,0
1781000740,23.7,407.25,3.34,43.21,0
1781000745,23.37,384.28,8.64,38.47,0
1781000750,23.71,401.98,2.48,38.36,0
1781000755,22.98,382.0,2.34,38.31,0
1781000760,23.15,400.7,4.54,35.6,0
1781000765,22.5,392.38,3.45,37.39,0
1781000770,22.6,389.86,4.65,35.72,0
1781000775,22.41,404.53,5.27,39.42,0
1781000780,21.72,396.07,5.42,39.92,0
1781000785,21.54,401.59,6.81,37.46,0
1781000790,21.79,404.4,5.37,40.02,0
1781000795,21.64,401.06,3.83,37.49,0
1781000800,21.8,396.89,4.75,95.3,1
1781000805,21.47,389.54,6.37,88.1,1
1781000810,20.74,399.05,5.2,38.89,0
1781000815,21.2,391.53,5.66,35.27,0
1781000820,21.1,400.4,5.8,38.56,0
1781000825,20.34,388.99,5.75,37.94,0
1781000830,20.48,376.62,5.27,35.92,0
1781000835,20.0,386.4,2.22,40.1,0
1781000840,20.48,384.93,3.51,35.16,0
1781000845,20.1,358.52,5.27,39.99,0
1781000850,19.98,374.9,5.27,39.05,0
1781000855,20.36,376.92,3.97,36.62,0
1781000860,20.06,389.0,4.52,34.84,0
1781000865,19.74,348.99,5.49,33.92,0
1781000870,19.64,346.54,3.32,39.71,0
1781000875,19.66,344.98,5.27,36.98,0
1781000880,20.23,365.9,4.99,34.11,0
1781000885,20.14,359.37,4.13,33.69,0
1781000890,20.6,345.95,4.39,38.05,0
1781000895,20.68,348.35,4.5,40.05,0
1781000900,21.14,355.09,6.01,34.63,0
1781000905,21.76,324.62,4.44,35.9,0
1781000910,21.28,336.11,2.86,38.8,0
1781000915,21.12,323.95,3.17,35.82,0
1781000920,21.0,322.52,4.22,40.21,0
1781000925,21.03,300.08,3.89,42.05,0
1781000930,21.33,335.85,5.74,34.51,0
1781000935,21.45,309.9,3.23,45.12,0
1781000940,21.6,309.29,7.19,37.67,0
1781000945,21.8,294.75,5.54,40.63,0
1781000950,22.32,278.48,5.06,35.98,0
1781000955,21.84,280.53,2.85,39.76,0
1781000960,23.27,301.15,4.14,36.6,0
1781000965,23.08,288.28,4.37,37.57,0
1781000970,23.71,271.75,4.27,38.36,0
1781000975,23.38,257.83,4.63,34.5,0
1781000980,23.28,282.12,6.11,37.72,0
1781000985,23.22,255.63,6.58,36.31,0
1781000990,24.06,240.51,4.56,43.23,0
1781000995,23.13,261.74,2.22,37.73,0
